filename,group
0.npz,P 1 21 1 (No. 4)
1.npz,C 1 2 1 (No. 5)
2.npz,P 1 21 1 (No. 4)
3.npz,C 1 2 1 (No. 5)
4.npz,P 1 21 1 (No. 4)
5.npz,P 1 21 1 (No. 4)
6.npz,C 1 2 1 (No. 5)
7.npz,P 1 21 1 (No. 4)
8.npz,C 1 2 1 (No. 5)
9.npz,P 1 21 1 (No. 4)
10.npz,C 1 2 1 (No. 5)
11.npz,P 1 21 1 (No. 4)
12.npz,C 1 2 1 (No. 5)
13.npz,C 1 2 1 (No. 5)
14.npz,C 1 2 1 (No. 5)
15.npz,C 1 2 1 (No. 5)
16.npz,C 1 2 1 (No. 5)
17.npz,C 1 2 1 (No. 5)
18.npz,C 1 2 1 (No. 5)
19.npz,P 1 21 1 (No. 4)
20.npz,P 1 21 1 (No. 4)
21.npz,C 1 2 1 (No. 5)
22.npz,P 1 21 1 (No. 4)
23.npz,P 1 21 1 (No. 4)
24.npz,P 1 21 1 (No. 4)
25.npz,C 1 2 1 (No. 5)
26.npz,C 1 2 1 (No. 5)
27.npz,C 1 2 1 (No. 5)
28.npz,P 1 21 1 (No. 4)
29.npz,C 1 2 1 (No. 5)
30.npz,C 1 2 1 (No. 5)
31.npz,C 1 2 1 (No. 5)
32.npz,P 1 21 1 (No. 4)
33.npz,C 1 2 1 (No. 5)
34.npz,C 1 2 1 (No. 5)
35.npz,P 1 21 1 (No. 4)
36.npz,P 1 21 1 (No. 4)
37.npz,P 1 21 1 (No. 4)
38.npz,C 1 2 1 (No. 5)
39.npz,P 1 21 1 (No. 4)
40.npz,C 1 2 1 (No. 5)
41.npz,C 1 2 1 (No. 5)
42.npz,C 1 2 1 (No. 5)
43.npz,P 1 21 1 (No. 4)
44.npz,C 1 2 1 (No. 5)
45.npz,C 1 2 1 (No. 5)
46.npz,P 1 21 1 (No. 4)
47.npz,C 1 2 1 (No. 5)
48.npz,C 1 2 1 (No. 5)
49.npz,P 1 21 1 (No. 4)
50.npz,P 1 21 1 (No. 4)
51.npz,C 1 2 1 (No. 5)
52.npz,C 1 2 1 (No. 5)
53.npz,C 1 2 1 (No. 5)
54.npz,P 1 21 1 (No. 4)
55.npz,P 1 21 1 (No. 4)
56.npz,C 1 2 1 (No. 5)
57.npz,P 1 21 1 (No. 4)
58.npz,C 1 2 1 (No. 5)
59.npz,P 1 21 1 (No. 4)
60.npz,P 1 21 1 (No. 4)
61.npz,P 1 21 1 (No. 4)
62.npz,P 1 21 1 (No. 4)
63.npz,C 1 2 1 (No. 5)
64.npz,C 1 2 1 (No. 5)
65.npz,C 1 2 1 (No. 5)
66.npz,C 1 2 1 (No. 5)
67.npz,C 1 2 1 (No. 5)
68.npz,P 1 21 1 (No. 4)
69.npz,P 1 21 1 (No. 4)
70.npz,P 1 21 1 (No. 4)
71.npz,P 1 21 1 (No. 4)
72.npz,P 1 21 1 (No. 4)
73.npz,P 1 21 1 (No. 4)
74.npz,C 1 2 1 (No. 5)
75.npz,P 1 21 1 (No. 4)
76.npz,C 1 2 1 (No. 5)
77.npz,P 1 21 1 (No. 4)
78.npz,P 1 21 1 (No. 4)
79.npz,C 1 2 1 (No. 5)
80.npz,P 1 21 1 (No. 4)
81.npz,C 1 2 1 (No. 5)
82.npz,P 1 21 1 (No. 4)
83.npz,C 1 2 1 (No. 5)
84.npz,C 1 2 1 (No. 5)
85.npz,P 1 21 1 (No. 4)
86.npz,P 1 21 1 (No. 4)
87.npz,C 1 2 1 (No. 5)
88.npz,P 1 21 1 (No. 4)
89.npz,P 1 21 1 (No. 4)
90.npz,C 1 2 1 (No. 5)
91.npz,C 1 2 1 (No. 5)
92.npz,C 1 2 1 (No. 5)
93.npz,P 1 21 1 (No. 4)
94.npz,C 1 2 1 (No. 5)
95.npz,C 1 2 1 (No. 5)
96.npz,C 1 2 1 (No. 5)
97.npz,P 1 21 1 (No. 4)
98.npz,P 1 21 1 (No. 4)
99.npz,P 1 21 1 (No. 4)
100.npz,C 1 2 1 (No. 5)
101.npz,P 1 21 1 (No. 4)
102.npz,C 1 2 1 (No. 5)
103.npz,P 1 21 1 (No. 4)
104.npz,P 1 21 1 (No. 4)
105.npz,C 1 2 1 (No. 5)
106.npz,C 1 2 1 (No. 5)
107.npz,P 1 21 1 (No. 4)
108.npz,C 1 2 1 (No. 5)
109.npz,P 1 21 1 (No. 4)
110.npz,P 1 21 1 (No. 4)
111.npz,C 1 2 1 (No. 5)
112.npz,P 1 21 1 (No. 4)
113.npz,C 1 2 1 (No. 5)
114.npz,P 1 21 1 (No. 4)
115.npz,P 1 21 1 (No. 4)
116.npz,C 1 2 1 (No. 5)
117.npz,C 1 2 1 (No. 5)
118.npz,P 1 21 1 (No. 4)
119.npz,P 1 21 1 (No. 4)
120.npz,P 1 21 1 (No. 4)
121.npz,C 1 2 1 (No. 5)
122.npz,P 1 21 1 (No. 4)
123.npz,P 1 21 1 (No. 4)
124.npz,P 1 21 1 (No. 4)
