filename,group
0.npz,P b c a (No. 61)
1.npz,P 21 21 21 (No. 19)
2.npz,P 1 21 1 (No. 4)
3.npz,C 1 2/c 1 (No. 15)
4.npz,P 21 21 21 (No. 19)
5.npz,C 1 2/c 1 (No. 15)
6.npz,P 1 21/c 1 (No. 14)
7.npz,P 1 21/c 1 (No. 14)
8.npz,P 21 21 21 (No. 19)
9.npz,P 1 21 1 (No. 4)
10.npz,P 1 21 1 (No. 4)
11.npz,P 21 21 21 (No. 19)
12.npz,P 21 21 21 (No. 19)
13.npz,P -1 (No. 2)
14.npz,P 1 21 1 (No. 4)
15.npz,P 21 21 21 (No. 19)
16.npz,C 1 2/c 1 (No. 15)
17.npz,P 1 21 1 (No. 4)
18.npz,P 21 21 21 (No. 19)
19.npz,P b c a (No. 61)
20.npz,P b c a (No. 61)
21.npz,P 1 21 1 (No. 4)
22.npz,P -1 (No. 2)
23.npz,C 1 2/c 1 (No. 15)
24.npz,P 1 21/c 1 (No. 14)
25.npz,P 1 21/c 1 (No. 14)
26.npz,C 1 2/c 1 (No. 15)
27.npz,C 1 2/c 1 (No. 15)
28.npz,P b c a (No. 61)
29.npz,P 1 21 1 (No. 4)
30.npz,P 21 21 21 (No. 19)
31.npz,P 1 21/c 1 (No. 14)
32.npz,C 1 2/c 1 (No. 15)
33.npz,P 1 21 1 (No. 4)
34.npz,P -1 (No. 2)
35.npz,P 1 21 1 (No. 4)
36.npz,P 1 21 1 (No. 4)
37.npz,P b c a (No. 61)
38.npz,P 21 21 21 (No. 19)
39.npz,P b c a (No. 61)
40.npz,P b c a (No. 61)
41.npz,P 21 21 21 (No. 19)
42.npz,P 21 21 21 (No. 19)
43.npz,P -1 (No. 2)
44.npz,C 1 2/c 1 (No. 15)
45.npz,P b c a (No. 61)
46.npz,P 21 21 21 (No. 19)
47.npz,P -1 (No. 2)
48.npz,P 1 21 1 (No. 4)
49.npz,P b c a (No. 61)
50.npz,C 1 2/c 1 (No. 15)
51.npz,P 1 21 1 (No. 4)
52.npz,P 21 21 21 (No. 19)
53.npz,P 1 21/c 1 (No. 14)
54.npz,P 21 21 21 (No. 19)
55.npz,P 1 21/c 1 (No. 14)
56.npz,P 1 21 1 (No. 4)
57.npz,P 1 21 1 (No. 4)
58.npz,P 1 21 1 (No. 4)
59.npz,C 1 2/c 1 (No. 15)
60.npz,P 1 21 1 (No. 4)
61.npz,P 1 21/c 1 (No. 14)
62.npz,P 1 21 1 (No. 4)
63.npz,P -1 (No. 2)
64.npz,P 21 21 21 (No. 19)
65.npz,C 1 2/c 1 (No. 15)
66.npz,P -1 (No. 2)
67.npz,P 1 21/c 1 (No. 14)
68.npz,C 1 2/c 1 (No. 15)
69.npz,P -1 (No. 2)
70.npz,P b c a (No. 61)
71.npz,P 1 21/c 1 (No. 14)
72.npz,P -1 (No. 2)
73.npz,P 21 21 21 (No. 19)
74.npz,P 1 21 1 (No. 4)
75.npz,P -1 (No. 2)
76.npz,P b c a (No. 61)
77.npz,C 1 2/c 1 (No. 15)
78.npz,C 1 2/c 1 (No. 15)
79.npz,P 1 21/c 1 (No. 14)
80.npz,P 21 21 21 (No. 19)
81.npz,P -1 (No. 2)
82.npz,P b c a (No. 61)
83.npz,P b c a (No. 61)
84.npz,P b c a (No. 61)
85.npz,P 21 21 21 (No. 19)
86.npz,P -1 (No. 2)
87.npz,P 1 21 1 (No. 4)
88.npz,P 1 21/c 1 (No. 14)
89.npz,P 1 21/c 1 (No. 14)
90.npz,P 1 21 1 (No. 4)
91.npz,P 1 21 1 (No. 4)
92.npz,P b c a (No. 61)
93.npz,P 1 21 1 (No. 4)
94.npz,P b c a (No. 61)
95.npz,P 21 21 21 (No. 19)
96.npz,P -1 (No. 2)
97.npz,P 1 21 1 (No. 4)
98.npz,P 1 21 1 (No. 4)
99.npz,P 21 21 21 (No. 19)
100.npz,P -1 (No. 2)
101.npz,P -1 (No. 2)
102.npz,C 1 2/c 1 (No. 15)
103.npz,P 21 21 21 (No. 19)
104.npz,C 1 2/c 1 (No. 15)
105.npz,P b c a (No. 61)
106.npz,P 1 21 1 (No. 4)
107.npz,P 1 21 1 (No. 4)
108.npz,P 1 21/c 1 (No. 14)
109.npz,P 1 21 1 (No. 4)
110.npz,C 1 2/c 1 (No. 15)
111.npz,P 21 21 21 (No. 19)
112.npz,C 1 2/c 1 (No. 15)
113.npz,C 1 2/c 1 (No. 15)
114.npz,P b c a (No. 61)
115.npz,P 1 21/c 1 (No. 14)
116.npz,C 1 2/c 1 (No. 15)
117.npz,P b c a (No. 61)
118.npz,C 1 2/c 1 (No. 15)
119.npz,P 1 21/c 1 (No. 14)
120.npz,P 1 21/c 1 (No. 14)
121.npz,P 1 21/c 1 (No. 14)
122.npz,P 21 21 21 (No. 19)
123.npz,P 1 21/c 1 (No. 14)
124.npz,C 1 2/c 1 (No. 15)
125.npz,P b c a (No. 61)
126.npz,P 21 21 21 (No. 19)
127.npz,P 21 21 21 (No. 19)
128.npz,P -1 (No. 2)
129.npz,C 1 2/c 1 (No. 15)
130.npz,P b c a (No. 61)
131.npz,P 1 21 1 (No. 4)
